num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; A-C; 7/9/2022; 16:3:44; 0; 600; 0; 1; 0; 0; 1012.90; 23.68; 43.91; 2.90
2; A-C; 7/9/2022; 16:13:52; 600; 600; 6663; 112548; 4814; 1020; 1012.90; 23.68; 43.91; 2.90
3; A-C; 7/9/2022; 16:23:52; 1200; 600; 5964; 106300; 4559; 917; 1012.81; 24.23; 43.49; 3.70
4; A-C; 7/9/2022; 16:33:52; 1800; 600; 5940; 105759; 4600; 912; 1012.81; 24.23; 43.49; 3.70
5; A-C; 7/9/2022; 16:43:53; 2400; 600; 5770; 104764; 4643; 944; 1012.76; 24.30; 42.97; 4.10
6; A-C; 7/9/2022; 16:53:53; 3000; 600; 5629; 104626; 4425; 902; 1012.76; 24.30; 42.97; 4.10
7; A-C; 7/9/2022; 17:3:53; 3601; 600; 5728; 104827; 4504; 948; 1012.61; 24.32; 42.44; 5.31
8; A-C; 7/9/2022; 17:13:53; 4201; 600; 5630; 104728; 4460; 950; 1012.50; 24.29; 42.29; 6.23
9; A-C; 7/9/2022; 17:23:53; 4801; 600; 5528; 103748; 4517; 911; 1012.50; 24.29; 42.29; 6.23
10; A-C; 7/9/2022; 17:33:54; 5401; 600; 5447; 104220; 4585; 984; 1012.39; 24.29; 42.31; 7.16
11; A-C; 7/9/2022; 17:43:54; 6001; 600; 5485; 103584; 4500; 890; 1012.39; 24.29; 42.31; 7.16
12; A-C; 7/9/2022; 17:53:54; 6601; 600; 5424; 104237; 4346; 971; 1012.35; 24.30; 42.06; 7.50
13; A-C; 7/9/2022; 18:3:53; 7201; 600; 5281; 103638; 4444; 940; 1012.37; 24.29; 41.85; 7.29
14; A-C; 7/9/2022; 18:13:53; 7801; 600; 5294; 104273; 4514; 953; 1012.37; 24.29; 41.85; 7.29
15; A-C; 7/9/2022; 18:23:54; 8401; 600; 5363; 104148; 4472; 951; 1012.24; 24.30; 41.90; 8.41
16; A-C; 7/9/2022; 18:33:54; 9001; 600; 5263; 103757; 4284; 951; 1012.24; 24.30; 41.90; 8.41
17; A-C; 7/9/2022; 18:43:54; 9601; 600; 5241; 103806; 4573; 1008; 1012.30; 24.29; 41.84; 7.93
18; A-C; 7/9/2022; 18:53:54; 10201; 600; 5285; 103576; 4282; 911; 1012.52; 24.28; 41.41; 6.05
19; A-C; 7/9/2022; 19:3:53; 10801; 600; 5220; 104080; 4295; 946; 1012.52; 24.28; 41.41; 6.05
20; A-C; 7/9/2022; 19:13:53; 11401; 600; 5100; 103977; 4388; 914; 1012.61; 24.28; 40.97; 5.35
21; A-C; 7/9/2022; 19:23:54; 12001; 600; 5204; 103930; 4408; 938; 1012.61; 24.28; 40.97; 5.35
22; A-C; 7/9/2022; 19:33:54; 12601; 600; 5106; 103062; 4346; 886; 1012.75; 24.27; 40.69; 4.28
23; A-C; 7/9/2022; 19:43:54; 13201; 600; 5151; 104146; 4515; 973; 1012.84; 24.26; 40.54; 3.41
24; A-C; 7/9/2022; 19:53:54; 13801; 600; 5115; 104391; 4436; 932; 1012.84; 24.26; 40.54; 3.41
25; A-C; 7/9/2022; 20:3:55; 14402; 600; 5017; 103415; 4272; 917; 1012.89; 24.26; 40.71; 3.02
26; A-C; 7/9/2022; 20:13:55; 15002; 600; 4937; 103634; 4385; 853; 1012.89; 24.26; 40.71; 3.02
27; A-C; 7/9/2022; 20:23:55; 15602; 600; 5015; 103589; 4359; 977; 1012.96; 24.26; 41.23; 2.45
28; A-C; 7/9/2022; 20:33:55; 16202; 600; 5021; 103191; 4303; 932; 1012.96; 24.26; 41.23; 2.45
29; A-C; 7/9/2022; 20:43:55; 16802; 600; 5048; 103570; 4434; 934; 1013.07; 24.26; 41.80; 1.16
30; A-C; 7/9/2022; 20:53:54; 17402; 600; 4959; 103449; 4274; 906; 1013.17; 24.26; 43.13; 0.67
31; A-C; 7/9/2022; 21:3:55; 18002; 600; 4939; 103892; 4517; 971; 1013.17; 24.26; 43.13; 0.67
32; A-C; 7/9/2022; 21:13:55; 18602; 600; 5022; 104176; 4401; 912; 1013.29; 24.27; 44.08; -0.34
33; A-C; 7/9/2022; 21:23:55; 19202; 600; 5091; 103875; 4502; 925; 1013.29; 24.27; 44.08; -0.34
34; A-C; 7/9/2022; 21:33:55; 19802; 600; 5075; 103665; 4350; 911; 1013.27; 24.27; 44.89; -0.19
35; A-C; 7/9/2022; 21:43:55; 20402; 600; 4950; 104123; 4386; 909; 1013.12; 24.24; 45.46; 1.07
36; A-C; 7/9/2022; 21:53:55; 21002; 600; 5068; 103333; 4415; 929; 1013.12; 24.24; 45.46; 1.07
37; A-C; 7/9/2022; 22:3:55; 21602; 600; 5097; 103648; 4460; 1009; 1013.26; 24.23; 45.70; -0.08
38; A-C; 7/9/2022; 22:13:55; 22202; 600; 4970; 104530; 4399; 967; 1013.26; 24.23; 45.70; -0.08
39; A-C; 7/9/2022; 22:23:55; 22802; 600; 5068; 104174; 4462; 933; 1013.33; 24.24; 45.81; -0.70
40; A-C; 7/9/2022; 22:33:55; 23402; 600; 5147; 103422; 4411; 940; 1013.26; 24.24; 45.91; -0.07
41; A-C; 7/9/2022; 22:43:56; 24002; 600; 5045; 103373; 4390; 935; 1013.26; 24.24; 45.91; -0.07
